,id,cat,perm,temp,loc,ex,poss
[gl](np)<sub>[gl](pred)</sub> [mp](pinire-nothing?nt) (+ [gl](np)<sub>[gl](subj)</sub>),✓ [exref](id-neg-npred-pinire-nsubj),✓ [exref](cat-neg-npred-pinire-nsubj),✓ [exref](perm-neg-npred-pinire-nsubj),,,,
([gl](np)<sub>[gl](subj)</sub>) [gl](adv)<sub>[gl](pred)</sub>[mp](jraneg?nt),,,,✓ [exref](temp-neg-nsubj-advpred-jra),,,✓ [exref](poss-neg-nsubj-advpred-jra)
[gl](adv)<sub>[gl](pred)</sub> + [gl](cop)-[gl](neg) (+ [gl](np)<sub>[gl](subj)</sub>),,,,✓ [exref](temp-neg-advpred-cop-neg-nsubj),,,
[gl](loc)<sub>[gl](pred)</sub> + [gl](cop)-[gl](neg) (+ [gl](np)<sub>[gl](subj)</sub>),,,,,✓ [exref](loc-neg-locpred-cop-neg-nsubj),,
[gl](np)<sub>[gl](subj)</sub> + [gl](cop) + [mp](pinire-nothing?nt) + [gl](part)<sub>[gl](pred)</sub>,,,,,✓ [exref](loc-neg-nsubj-cop-pinire-part),,
[gl](part)<sub>[gl](pred)</sub> [gl](np)<sub>[gl](subj)</sub> [mp](pinire-nothing?nt),,,,,✓ [exref](loc-neg-part-nsubj-pinire),,
[mp](pirare-nothing?nt),,,,,,✓ [exref](ex-neg-pirare),
[gl](part)<sub>[gl](pred)</sub> + [mp](pirare-nothing?nt) + [gl](cop) (+[gl](np)<sub>[gl](subj)</sub>),,,,,,✓ [exref](ex-neg-part-pirare-cop-nsubj),
[gl](part)<sub>[gl](pred)</sub> + [mp](pirare-nothing?nt) (+[gl](np)<sub>[gl](subj)</sub>),,,,,,✓ [exref](ex-neg-part-pirare-nsubj),
[mp](pirare-nothing?nt) [gl](np)<sub>[gl](subj)</sub>[mp](jraneg?nt),,,,,,✓ [exref](ex-neg-pirare-nsubj-jra),
[gl](part)<sub>[gl](pred)</sub> + pïnirë (+[gl](np)<sub>[gl](subj)</sub>),,,,,,,✓ [exref](poss-neg-part-pinire-nsubj)
