ID,Wordform_ID,Morph_ID,Index,Gloss_ID
ajpachike-undergrowth-prop-0,ajpachike-undergrowth-prop,ajpachi-undergrowth,0,undergrowth
ajpachike-undergrowth-prop-1,ajpachike-undergrowth-prop,keprop,1,prop
jra-neg-0,jra-neg,jra-neg,0,neg
aka-ouch-cry-of-pain-0,aka-ouch-cry-of-pain,aka-ouch-cry-of-pain,0,ouch-cry-of-pain
aniki-who-0,aniki-who,aniki-who-1,0,who
apo-later-0,apo-later,apo-later,0,later
arajmate-dangerous-0,arajmate-dangerous,arajmate-dangerous,0,dangerous
arokate-difficult-0,arokate-difficult,arokate-difficult,0,difficult
asakontompene-four-0,asakontompene-four,asakontompene-four,0,four
asake-two-0,asake-two,asake-two,0,two
jne-pl-0,jne-pl,jne-pl,0,pl
asane-2-mother-pert-0,asane-2-mother-pert,a2,0,2
asane-2-mother-pert-1,asane-2-mother-pert,sane-mother,1,mother
asane-2-mother-pert-2,asane-2-mother-pert,rupert-zero,2,pert
asereke-dry-cough-prop-0,asereke-dry-cough-prop,asere-dry-cough,0,dry-cough
asereke-dry-cough-prop-1,asereke-dry-cough-prop,keprop,1,prop
ayawori-2-uncle-pert-0,ayawori-2-uncle-pert,ay2,0,2
ayawori-2-uncle-pert-1,ayawori-2-uncle-pert,awo-uncle,1,uncle
ayawori-2-uncle-pert-2,ayawori-2-uncle-pert,ripert,2,pert
chijchipuru-body-movement-pert-0,chijchipuru-body-movement-pert,chijchipu-body-movement,0,body-movement
chijchipuru-body-movement-pert-1,chijchipuru-body-movement-pert,rupert,1,pert
ejne-1-2pro-0,ejne-1-2pro,ejne-1-2pro,0,1-2pro
eni-prox-inan-0,eni-prox-inan,eni-prox-inan,0,"prox,inan"
enijpete-one-0,enijpete-one,enijpete-one,0,one
enirono-now-nmlz-0,enirono-now-nmlz,eniro-now,0,now
enirono-now-nmlz-1,enirono-now-nmlz,nonmlz,1,nmlz
ente-here-loc-0,ente-here-loc,ente-here-loc,0,"here,loc"
ewine-here-all-0,ewine-here-all,ewine-here-all,0,"here,all"
ijmokani-cook-agtnmlz-0,ijmokani-cook-agtnmlz,ijmoka-cook,0,cook
ijmokani-cook-agtnmlz-1,ijmokani-cook-agtnmlz,ninmlz,1,agtnmlz
ijtari-3-foot-pert-0,ijtari-3-foot-pert,i31,0,3
ijtari-3-foot-pert-1,ijtari-3-foot-pert,jta-foot,1,foot
ijtari-3-foot-pert-2,ijtari-3-foot-pert,ripert,2,pert
inawe-have-0,inawe-have,inawe-have,0,have
intipijke-small-0,intipijke-small,intipijke-small,0,small
irejpe-then-0,irejpe-then,irejpe-then,0,then
kaimoke-game-prop-0,kaimoke-game-prop,kaimo-game,0,game
kaimoke-game-prop-1,kaimoke-game-prop,keprop,1,prop
kamparake-big-prop-0,kamparake-big-prop,kampara-big,0,big
kamparake-big-prop-1,kamparake-big-prop,keprop,1,prop
karasake-white-0,karasake-white,karasake-white,0,white
kasori-fat-pert-0,kasori-fat-pert,kaso-fat,0,fat
kasori-fat-pert-1,kasori-fat-pert,ripert,1,pert
kawe-high-0,kawe-high,kawe-high,0,high
kori-brassolis-sophorae-pert-0,kori-brassolis-sophorae-pert,ko-brassolis-sophorae,0,brassolis-sophorae
kori-brassolis-sophorae-pert-1,kori-brassolis-sophorae-pert,ripert,1,pert
kururu-prochilodus-mariae-pert-0,kururu-prochilodus-mariae-pert,kuru-prochilodus-mariae,0,prochilodus-mariae
kururu-prochilodus-mariae-pert-1,kururu-prochilodus-mariae-pert,rupert,1,pert
kuyari-tree-sp-pert-0,kuyari-tree-sp-pert,kuya-tree-sp,0,"tree,sp"
kuyari-tree-sp-pert-1,kuyari-tree-sp-pert,ripert,1,pert
kemuru-pus-pert-0,kemuru-pus-pert,kemu-pus,0,pus
kemuru-pus-pert-1,kemuru-pus-pert,rupert,1,pert
kereke-old-prop-0,kereke-old-prop,kere-old,0,old
kereke-old-prop-1,kereke-old-prop,keprop,1,prop
kerekemi-old-prop-nmlz-0,kerekemi-old-prop-nmlz,kere-old,0,old
kerekemi-old-prop-nmlz-1,kerekemi-old-prop-nmlz,keprop,1,prop
kerekemi-old-prop-nmlz-2,kerekemi-old-prop-nmlz,minmlz,2,nmlz
keya-think-acnnmlz-0,keya-think-acnnmlz,keya-think,0,think
keya-think-acnnmlz-1,keya-think-acnnmlz,rinmlz-zero,1,acnnmlz
pe-ess-0,pe-ess,pe-ess,0,ess
michi-med-anim-0,michi-med-anim,michi-med-anim,0,"med,anim"
morone-hurting-0,morone-hurting,morone-hurting,0,hurting
mune-bulbous-0,mune-bulbous,mune-bulbous,0,bulbous
mejki-dist-anim-0,mejki-dist-anim,mejki-dist-anim,0,"dist,anim"
mijna-there-all-0,mijna-there-all,mijna-there-all,0,"there,all"
najmo-grandmother-0,najmo-grandmother,najmo-grandmother,0,grandmother
nakiri-thirst-pert-0,nakiri-thirst-pert,naki-thirst,0,thirst
nakiri-thirst-pert-1,nakiri-thirst-pert,ripert,1,pert
nonokemi-earth-prop-nmlz-0,nonokemi-earth-prop-nmlz,nono-earth,0,earth
nonokemi-earth-prop-nmlz-1,nonokemi-earth-prop-nmlz,keprop,1,prop
nonokemi-earth-prop-nmlz-2,nonokemi-earth-prop-nmlz,minmlz,2,nmlz
