ID,Process_ID,Target_ID,Source_ID,Root_ID,Stempart_IDs,Comment
sujta-urinate,tavbz,sujta-urinate,suku-urine,,sujta-urinate-1,
kaimota-hunt,tavbz,kaimota-hunt,kaimo-game,,kaimota-hunt-1,
meteta-thin,tavbz,meteta-thin,,,meteta-thin-1,
yokota-grow-pimple,tavbz,yokota-grow-pimple,yoko-pimple,,yokota-grow-pimple-1,
erepunta-become-sick,tavbz,erepunta-become-sick,erepunu-sick,,erepunta-become-sick-1,
wereyta-cloud-over,tavbz,wereyta-cloud-over,wereyi-cloud,,wereyta-cloud-over-1,
wanaputa-grow-savannah-grass,tavbz,wanaputa-grow-savannah-grass,wanapu-savannah,,wanaputa-grow-savannah-grass-1,
sakauta-get-sandy,tavbz,sakauta-get-sandy,sakau-sand,,sakauta-get-sandy-1,
rokota-become-crazy,tavbz,rokota-become-crazy,roko-crazy,,rokota-become-crazy-1,
punta-form-pulp,tavbz,punta-form-pulp,punu-flesh,,punta-form-pulp-1,
piketa-fart,tavbz,piketa-fart,pike-fart,,piketa-fart-1,
pichipichita-form-whitebait,tavbz,pichipichita-form-whitebait,pichipichi-whitebait,,pichipichita-form-whitebait-1,
nakita-be-thirsty,tavbz,nakita-be-thirsty,naki-thirst,,nakita-be-thirsty-1,
mukuta-have-son,tavbz,mukuta-have-son,muku-child,,mukuta-have-son-1,
motota-fill-with-worms,tavbz,motota-fill-with-worms,moto-worm,,motota-fill-with-worms-1,
moronta-hurt,tavbz,moronta-hurt,moroni-pain,,moronta-hurt-1,
mesujta-bleed,tavbz,mesujta-bleed,mesuku-blood,,mesujta-bleed-1,
kereta-ripen,tavbz,kereta-ripen,kere-old,,kereta-ripen-1,
kemuta-emit-pus,tavbz,kemuta-emit-pus,kemu-pus,,kemuta-emit-pus-1,
konopota-start-rainy-season,tavbz,konopota-start-rainy-season,konopo-rain,,konopota-start-rainy-season-1,
kawonota-get-high,tavbz,kawonota-get-high,kawono-high,,kawonota-get-high-1,
kamparata-grow,tavbz,kamparata-grow,kampara-big,,kamparata-grow-1,
chekeyta-fill-with-nits,tavbz,chekeyta-fill-with-nits,chekey-nit,,chekeyta-fill-with-nits-1,
chimichimita-fill-with-worms-dog,tavbz,chimichimita-fill-with-worms-dog,chimichimi-worm-dog,,chimichimita-fill-with-worms-dog-1,
chiketa-get-chiggers,tavbz,chiketa-get-chiggers,chike-chigger,,chiketa-get-chiggers-1,
awochita-form-tumor,tavbz,awochita-form-tumor,awochi-tumor,,awochita-form-tumor-1,
asereta-have-dry-cough,tavbz,asereta-have-dry-cough,asere-dry-cough,,asereta-have-dry-cough-1,
aijkoronota-recover,tavbz,aijkoronota-recover,aijkorono-recovered,,aijkoronota-recover-1,
ajpachita-overgrows,tavbz,ajpachita-overgrows,ajpachi-undergrowth,,ajpachita-overgrows-1,
